X,Y,FID,Service_Da,Address,Tow_Reason,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Day,Snow_Emerg
-93.310767999743348,44.985471000086648,1,04/16/2018 02:43pm,"710 RUSSELL AVE N,Minneapolis,MN",Snow Emergency,44.985471,-93.310768,5,Near North,Willard - Hay,1,2,Howe
-93.220151000068526,44.971199000233753,2,04/16/2018 02:43pm,"150 26th Ave SE,Minneapolis,MN",Snow Emergency,44.971199,-93.220151,2,University,Prospect Park - East River Road,4,2,Howe
-93.262425999859929,45.006359000167777,3,04/16/2018 02:44pm,"360 18th Ave NE,Minneapolis,MN",Snow Emergency,45.006359,-93.262426,1,Northeast,Holland,2,2,Howe
-93.227075000111142,44.939344999871878,4,04/16/2018 02:46pm,"3520 31st st e ,Minneapolis,MN",Snow Emergency,44.939345,-93.227075,12,Longfellow,Howe,6,2,Howe
-93.294223000291197,45.027867000062024,5,04/16/2018 02:47pm,"4004 Emerson Ave n,Minneapolis,MN",Snow Emergency,45.027867,-93.294223,4,Camden,Webber - Camden,1,2,Howe
-93.256634999905273,44.947416999794768,6,04/16/2018 02:49pm,"3024 13th ave,Minneapolis,MN",Snow Emergency,44.947417,-93.256635,9,Powderhorn,Powderhorn Park,6,2,Howe
-93.254060999915168,44.94570299989357,7,04/16/2018 02:51pm,"3128 15th ave,Minneapolis,MN",Snow Emergency,44.945703,-93.254061,9,Powderhorn,Powderhorn Park,6,2,Howe
-93.231776000162256,44.991000999696432,8,04/16/2018 02:53pm,"1104 14th ave se,Minneapolis,MN",Snow Emergency,44.991001,-93.231776,1,University,Como,4,2,Howe
-93.235210000241295,44.941345000371541,9,04/16/2018 02:57pm,"2516 34th st e,Minneapolis,MN",Snow Emergency,44.941345,-93.23521,9,Powderhorn,Corcoran,6,2,Howe
-93.283286999595305,44.95943800016363,10,04/16/2018 03:00pm,"2320 pleasant Ave ,Minneapolis,MN",Snow Emergency,44.959438,-93.283287,10,Powderhorn,Whittier,3,2,Howe
-93.234119000291571,44.982157000145484,11,04/16/2018 03:00pm,"1404 6th st se,Minneapolis,MN",Snow Emergency,44.982157,-93.234119,3,University,Marcy Holmes,4,2,Howe
-93.299147999880233,44.979245999903007,12,04/16/2018 03:02pm,"238 Irving ave n,Minneapolis,MN",Snow Emergency,44.979246,-93.299148,5,Near North,Harrison,3,2,Howe
-93.218599000443476,44.925314000340897,13,04/16/2018 03:02pm,"3714 43rd st e,Minneapolis,MN",Snow Emergency,44.925314,-93.218599,12,Longfellow,Hiawatha,6,2,Howe
-93.306747999620427,44.986571999598134,14,04/16/2018 03:02pm,"814 Oliver Ave N,Minneapolis,MN",Snow Emergency,44.986572,-93.306748,5,Near North,Near - North,1,2,Howe
-93.292816000158268,45.020979999927135,15,04/16/2018 03:03pm,"3620 dupont Ave n ,Minneapolis,MN",Snow Emergency,45.02098,-93.292816,4,Camden,McKinley,1,2,Howe
-93.290435000075149,44.981493000101928,16,04/16/2018 03:05pm,"320 bryant ave n ,Minneapolis,MN",Snow Emergency,44.981493,-93.290435,5,Near North,Sumner - Glenwood,3,2,Howe
-93.291574999586544,45.022930999965745,17,04/16/2018 03:06pm,"3726 Colfax Ave n ,Minneapolis,MN",Snow Emergency,45.022931,-93.291575,4,Camden,McKinley,1,2,Howe
