X,Y,FID,Call_Taken,Customer,Location,Latitude,Longitude,Snow_Emerg,Day,Ward,Neighborho,Community,Tow_Dist
-93.26249,44.933471,1,02/25/2018 10:51pm,Snow Emergency,"3820 CHICAGO AVE S,Minneapolis,MN",44.933471,-93.26249,Yardville,1,8,Bancroft,Powderhorn,6
-93.237405,45.021521,2,02/25/2018 09:58pm,Snow Emergency,"2936 Johnson St NE,Minneapolis,MN",45.021521,-93.237405,Yardville,1,1,Audubon Park,Northeast,2
-93.261285,44.938653,3,02/26/2018 01:03pm,Snow Emergency,"3526 Elliott Avenue,Minneapolis,MN",44.938653,-93.261285,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.269084,45.000589,4,02/25/2018 10:02pm,Snow Emergency,"119 13th Ave NE,Minneapolis,MN",45.000589,-93.269084,Yardville,1,3,Sheridan,Northeast,2
-93.248997,44.94492,5,02/26/2018 01:04pm,Snow Emergency,"3148 18th ave so,Minneapolis,MN",44.94492,-93.248997,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.246999,45.006588,6,02/25/2018 10:27pm,Snow Emergency,"1815 Central Ave NE,Minneapolis,MN",45.006588,-93.246999,Yardville,1,1,Windom Park,Northeast,2
-93.260445,44.945102,7,02/26/2018 01:09pm,Snow Emergency,"3148 10th ave s,Minneapolis,MN",44.945102,-93.260445,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.247791,45.006193,8,02/25/2018 10:31pm,Snow Emergency,"1804 Central Ave NE,Minneapolis,MN",45.006193,-93.247791,Yardville,1,1,Logan Park,Northeast,2
-93.253982,44.935138,9,02/26/2018 01:16pm,Snow Emergency,"3720 15th av s,Minneapolis,MN",44.935138,-93.253982,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.247128,45.006141,10,02/25/2018 10:33pm,Snow Emergency,"1801 Central Ave NE,Minneapolis,MN",45.006141,-93.247128,Yardville,1,1,Windom Park,Northeast,2
-93.261525,44.935798,11,02/26/2018 01:27pm,Snow Emergency,"3700 ELLIOT AVE,Minneapolis,MN",44.935798,-93.261525,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.246999,45.006588,12,02/25/2018 10:35pm,Snow Emergency,"1815 Central Ave NE,Minneapolis,MN",45.006588,-93.246999,Yardville,1,1,Windom Park,Northeast,2
-93.232616,44.908185,13,02/26/2018 01:28am,Snow Emergency,"5224 28th ave,Minneapolis,MN",44.908185,-93.232616,Yardville,1,11,Keewaydin,Nokomis,6
-93.268566,45.000297,14,02/25/2018 10:52pm,Snow Emergency,"130 13th Ave NE,Minneapolis,MN",45.000297,-93.268566,Yardville,1,3,Sheridan,Northeast,2
-93.261248,44.934908,15,02/26/2018 01:28pm,Snow Emergency,"3734 ELLIOT AVE,Minneapolis,MN",44.934908,-93.261248,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.269084,45.000589,16,02/25/2018 11:10pm,Snow Emergency,"119 13th Ave NE,Minneapolis,MN",45.000589,-93.269084,Yardville,1,3,Sheridan,Northeast,2
-93.231824,44.932705,17,02/26/2018 01:31am,Snow Emergency,"3851 28th ave,Minneapolis,MN",44.932705,-93.231824,Yardville,1,12,Standish,Powderhorn,6
-93.247591,45.011,18,02/25/2018 11:14pm,Snow Emergency,"2300 Central Ave NE,Minneapolis,MN",45.011,-93.247591,Yardville,1,1,Holland,Northeast,2
-93.247636,45.009541,19,02/25/2018 11:16pm,Snow Emergency,"2016 Central Ave NE,Minneapolis,MN",45.009541,-93.247636,Yardville,1,1,Holland,Northeast,2
-93.238918,44.944594,20,02/26/2018 01:31am,Snow Emergency,"3200 BLOCK 23 ave s,Minneapolis,MN",44.944594,-93.238918,Yardville,1,9,Corcoran,Powderhorn,6
-93.24771,45.006338,21,02/25/2018 11:26pm,Snow Emergency,"1810 Central Ave NE,Minneapolis,MN",45.006338,-93.24771,Yardville,1,1,Logan Park,Northeast,2
-93.217867,44.932538,22,02/26/2018 01:35am,Snow Emergency,"3858 38TH AVE S,Minneapolis,MN",44.932538,-93.217867,Yardville,1,12,Howe,Longfellow,6
-93.246832,45.015855,23,02/25/2018 11:28pm,Snow Emergency,"2625 Central Ave NE,Minneapolis,MN",45.015855,-93.246832,Yardville,1,1,Audubon Park,Northeast,2
-93.225594,44.939565,24,02/26/2018 01:36am,Snow Emergency,"3207 35TH ST E,Minneapolis,MN",44.939565,-93.225594,Yardville,1,12,Howe,Longfellow,6
-93.269084,45.000589,25,02/25/2018 11:32pm,Snow Emergency,"119 13th Ave NE,Minneapolis,MN",45.000589,-93.269084,Yardville,1,3,Sheridan,Northeast,2
-93.245183,44.947048,26,02/26/2018 01:44pm,Snow Emergency,"3036 19th ave so,Minneapolis,MN",44.947048,-93.245183,Yardville,2,9,Corcoran,Powderhorn,6
-93.251184,44.997881,27,02/26/2018 01:06pm,Snow Emergency,"732 quincy st ne,Minneapolis,MN",44.997881,-93.251184,Yardville,2,3,St. Anthony East,Northeast,2
-93.26174,44.947489,28,02/26/2018 01:45pm,Snow Emergency,"3024 elliot AVE,Minneapolis,MN",44.947489,-93.26174,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.27206,45.016324,29,02/26/2018 01:11am,Snow Emergency,"2641 Marshall St NE,Minneapolis,MN",45.016324,-93.27206,Yardville,1,1,Marshall Terrace,Northeast,2
-93.24523,44.946265,30,02/26/2018 01:46pm,Snow Emergency,"3104 19th ave s,Minneapolis,MN",44.946265,-93.24523,Yardville,2,9,Corcoran,Powderhorn,6
-93.219108,44.946472,31,02/26/2018 01:47pm,Snow Emergency,"3106 37th ave s,Minneapolis,MN",44.946472,-93.219108,Yardville,2,2,Longfellow,Longfellow,6
-93.256639,44.947602,32,02/26/2018 01:47pm,Snow Emergency,"3014 13th ave,Minneapolis,MN",44.947602,-93.256639,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.253982,44.939037,33,02/26/2018 01:48pm,Snow Emergency,"3512 15th ave s,Minneapolis,MN",44.939037,-93.253982,Yardville,2,9,Powderhorn Park,Powderhorn,6
