"ID";"snow_emergency_name";"service_date";"address";"latitude";"longitude";"day_id";"ward";"neighborhood";"community";"tow_district"
1;"Yardville";"2018-02-25 00:00:00";"3820 CHICAGO AVE S,Minneapolis,MN";44.933;-93.262;1;8;"Bancroft";"Powderhorn";6
2;"Yardville";"2018-02-25 00:00:00";"2936 Johnson St NE,Minneapolis,MN";45.022;-93.237;1;1;"Audubon Park";"Northeast";2
3;"Yardville";"2018-02-26 00:00:00";"3526 Elliott Avenue,Minneapolis,MN";44.939;-93.261;2;9;"Powderhorn Park";"Powderhorn";6
4;"Yardville";"2018-02-25 00:00:00";"119 13th Ave NE,Minneapolis,MN";45.001;-93.269;1;3;"Sheridan";"Northeast";2
5;"Yardville";"2018-02-26 00:00:00";"3148 18th ave so,Minneapolis,MN";44.945;-93.249;2;9;"Powderhorn Park";"Powderhorn";6
6;"Yardville";"2018-02-25 00:00:00";"1815 Central Ave NE,Minneapolis,MN";45.007;-93.247;1;1;"Windom Park";"Northeast";2
7;"Yardville";"2018-02-26 00:00:00";"3148 10th ave s,Minneapolis,MN";44.945;-93.26;2;9;"Powderhorn Park";"Powderhorn";6
8;"Yardville";"2018-02-25 00:00:00";"1804 Central Ave NE,Minneapolis,MN";45.006;-93.248;1;1;"Logan Park";"Northeast";2
9;"Yardville";"2018-02-26 00:00:00";"3720 15th av s,Minneapolis,MN";44.935;-93.254;2;9;"Powderhorn Park";"Powderhorn";6
10;"Yardville";"2018-02-25 00:00:00";"1801 Central Ave NE,Minneapolis,MN";45.006;-93.247;1;1;"Windom Park";"Northeast";2
11;"Yardville";"2018-02-26 00:00:00";"3700 ELLIOT AVE,Minneapolis,MN";44.936;-93.262;2;9;"Powderhorn Park";"Powderhorn";6
12;"Yardville";"2018-02-25 00:00:00";"1815 Central Ave NE,Minneapolis,MN";45.007;-93.247;1;1;"Windom Park";"Northeast";2
13;"Yardville";"2018-02-26 00:00:00";"5224 28th ave,Minneapolis,MN";44.908;-93.233;1;11;"Keewaydin";"Nokomis";6
14;"Yardville";"2018-02-25 00:00:00";"130 13th Ave NE,Minneapolis,MN";45.0;-93.269;1;3;"Sheridan";"Northeast";2
