"FID";"snow_emergency_name";"citation";"service_date";"address";"latitude";"longitude";"day_id";"ordinance_id";"ordinance_desc";"ward";"neighborhood";"community";"tow_district"
4001;"Howe";271118392589;"2018-04-16 00:00:00";"704 18TH ST E";44.965;-93.265;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";6;"Ventura Village";"Phillips";3
4002;"Howe";271118396141;"2018-04-16 00:00:00";"1716 THOMAS PL";44.985;-93.303;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Near - North";"Near North";1
4003;"Howe";271118394479;"2018-04-16 00:00:00";"912 27TH AVE NE";45.017;-93.248;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";1;"Columbia Park";"Northeast";2
4004;"Howe";271118393488;"2018-04-16 00:00:00";"2400 HARRIET AVE S";44.959;-93.286;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";10;"Whittier";"Powderhorn";3
4005;"Howe";271118392256;"2018-04-16 00:00:00";"5126 ALDRICH AVE N";45.048;-93.29;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Lind - Bohanon";"Camden";1
4006;"Howe";271118364557;"2018-04-16 00:00:00";"4456 35TH AVE S";44.922;-93.222;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";12;"Ericsson";"Nokomis";6
4007;"Howe";271118393836;"2018-04-16 00:00:00";"64 BEDFORD ST SE";44.968;-93.209;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";2;"Prospect Park - East River Road";"University";4
4008;"Howe";271118396789;"2018-04-16 00:00:00";"1714 THOMAS PL";44.985;-93.302;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Near - North";"Near North";1
4009;"Howe";271118394480;"2018-04-16 00:00:00";"908 27TH AVE NE";45.017;-93.248;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";1;"Columbia Park";"Northeast";2
4010;"Howe";271118396576;"2018-04-16 00:00:00";"3434 OLIVER AVE N";45.018;-93.307;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Folwell";"Camden";1
4011;"Howe";271118388241;"2018-04-16 00:00:00";"410 37TH ST E";44.936;-93.268;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";8;"Central";"Powderhorn";5
4012;"Howe";271118396790;"2018-04-16 00:00:00";"1710 THOMAS PL";44.985;-93.303;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Near - North";"Near North";1
4013;"Howe";271118393880;"2018-04-16 00:00:00";"2652 BUCHANAN ST NE";45.017;-93.24;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";1;"Audubon Park";"Northeast";2
4014;"Howe";271118392257;"2018-04-16 00:00:00";"5142 ALDRICH AVE N";45.049;-93.29;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Lind - Bohanon";"Camden";1
4015;"Howe";271118396791;"2018-04-16 00:00:00";"1708 THOMAS PL";44.985;-93.302;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Near - North";"Near North";1
4016;"Howe";271118396577;"2018-04-16 00:00:00";"3640 OLIVER AVE N";45.022;-93.307;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Folwell";"Camden";1
4017;"Howe";271118389460;"2018-04-16 00:00:00";"5548 1ST AVE S";44.902;-93.277;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";11;"Windom";"Southwest";5
4018;"Howe";271118394481;"2018-04-16 00:00:00";"644 27TH AVE NE";45.017;-93.256;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";1;"Columbia Park";"Northeast";2
4019;"Howe";271118393489;"2018-04-16 00:00:00";"2120 HARRIET AVE S";44.961;-93.286;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";10;"Whittier";"Powderhorn";3
4020;"Howe";271118392258;"2018-04-16 00:00:00";"5236 ALDRICH AVE N";45.051;-93.29;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Lind - Bohanon";"Camden";1
4021;"Howe";271118396792;"2018-04-16 00:00:00";"1706 THOMAS PL";44.985;-93.302;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Near - North";"Near North";1
4022;"Howe";271118394482;"2018-04-16 00:00:00";"646 27TH AVE NE";45.017;-93.256;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";1;"Holland";"Northeast";2
4023;"Howe";271118396578;"2018-04-16 00:00:00";"3730 OLIVER AVE N";45.023;-93.307;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Folwell";"Camden";1
4024;"Howe";271118392976;"2018-04-16 00:00:00";"3804 41ST AVE S";44.934;-93.214;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";12;"Howe";"Longfellow";6
4025;"Howe";271118388242;"2018-04-16 00:00:00";"230 37TH ST E";44.936;-93.272;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";8;"Central";"Powderhorn";5
4026;"Howe";271118392590;"2018-04-16 00:00:00";"1020 18TH ST E";44.965;-93.259;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";6;"Ventura Village";"Phillips";3
4027;"Howe";271118396793;"2018-04-16 00:00:00";"1708 THOMAS PL";44.985;-93.302;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Near - North";"Near North";1
4028;"Howe";271118336917;"2018-04-16 00:00:00";"1322 35TH AVE N";45.019;-93.296;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Folwell";"Camden";1
4029;"Howe";271118393490;"2018-04-16 00:00:00";"2112 HARRIET AVE S";44.961;-93.286;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";10;"Whittier";"Powderhorn";3
4030;"Howe";271118392259;"2018-04-16 00:00:00";"5246 ALDRICH AVE N";45.051;-93.29;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Lind - Bohanon";"Camden";1
4031;"Howe";271118390642;"2018-04-16 00:00:00";"2720 16TH AVE S";44.953;-93.251;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";9;"East Phillips";"Phillips";3
4032;"Howe";271118396579;"2018-04-16 00:00:00";"3750 OLIVER AVE N";45.024;-93.307;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Folwell";"Camden";1
4033;"Howe";271118389607;"2018-04-16 00:00:00";"2726 16TH AVE S";44.953;-93.251;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";9;"East Phillips";"Phillips";3
4034;"Howe";271118394483;"2018-04-16 00:00:00";"2644 6TH ST NE";45.016;-93.259;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";1;"Holland";"Northeast";2
4035;"Howe";271118393491;"2018-04-16 00:00:00";"2100 HARRIET AVE S";44.962;-93.286;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";10;"Whittier";"Powderhorn";3
4036;"Howe";271118393837;"2018-04-16 00:00:00";"76 MALCOLM AVE SE";44.969;-93.215;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";2;"Prospect Park - East River Road";"University";4
4037;"Howe";271118386621;"2018-04-16 00:00:00";"84 MALCOLM AVE SE";44.969;-93.215;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";2;"Prospect Park - East River Road";"University";4
4038;"Howe";271118389608;"2018-04-16 00:00:00";"2724 16TH AVE S";44.953;-93.251;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";9;"East Phillips";"Phillips";3
4039;"Howe";271118392591;"2018-04-16 00:00:00";"1314 18TH ST E";44.965;-93.256;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";6;"Ventura Village";"Phillips";3
4040;"Howe";271118396794;"2018-04-16 00:00:00";"2010 NORTH FRONTAGE ROAD";44.985;-93.307;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Near - North";"Near North";1
4041;"Howe";271118393492;"2018-04-16 00:00:00";"2004 HARRIET AVE S";44.963;-93.286;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";10;"Whittier";"Powderhorn";3
4042;"Howe";271118388155;"2018-04-16 00:00:00";"4206 57TH ST E";44.9;-93.213;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";12;"Morris Park";"Nokomis";6
4043;"Howe";271118392977;"2018-04-16 00:00:00";"3940 41ST AVE S";44.931;-93.214;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";12;"Howe";"Longfellow";6
4044;"Howe";271118389609;"2018-04-16 00:00:00";"2724 16TH AVE S";44.953;-93.251;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";9;"East Phillips";"Phillips";3
4045;"Howe";271118386560;"2018-04-16 00:00:00";"2200 BUTLER PL";44.964;-93.241;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";6;"Seward";"Longfellow";4
4046;"Howe";271118393838;"2018-04-16 00:00:00";"82 MALCOLM AVE SE";44.969;-93.215;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";2;"Prospect Park - East River Road";"University";4
4047;"Howe";271118392156;"2018-04-16 00:00:00";"1106 21ST AVE N";45.0;-93.294;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Jordan";"Near North";1
