"FID";"snow_emergency_name";"service_date";"address";"latitude";"longitude";"day_id";"ward";"neighborhood";"community";"tow_district"
1;"Howe";"2018-04-16 00:00:00";"710 RUSSELL AVE N,Minneapolis,MN";44.985;-93.311;2;5;"Willard - Hay";"Near North";1
2;"Howe";"2018-04-16 00:00:00";"150 26th Ave SE,Minneapolis,MN";44.971;-93.22;2;2;"Prospect Park - East River Road";"University";4
3;"Howe";"2018-04-16 00:00:00";"360 18th Ave NE,Minneapolis,MN";45.006;-93.262;2;1;"Holland";"Northeast";2
4;"Howe";"2018-04-16 00:00:00";"3520 31st st e ,Minneapolis,MN";44.939;-93.227;2;12;"Howe";"Longfellow";6
5;"Howe";"2018-04-16 00:00:00";"4004 Emerson Ave n,Minneapolis,MN";45.028;-93.294;2;4;"Webber - Camden";"Camden";1
6;"Howe";"2018-04-16 00:00:00";"3024 13th ave,Minneapolis,MN";44.947;-93.257;2;9;"Powderhorn Park";"Powderhorn";6
7;"Howe";"2018-04-16 00:00:00";"3128 15th ave,Minneapolis,MN";44.946;-93.254;2;9;"Powderhorn Park";"Powderhorn";6
8;"Howe";"2018-04-16 00:00:00";"1104 14th ave se,Minneapolis,MN";44.991;-93.232;2;1;"Como";"University";4
9;"Howe";"2018-04-16 00:00:00";"2516 34th st e,Minneapolis,MN";44.941;-93.235;2;9;"Corcoran";"Powderhorn";6
10;"Howe";"2018-04-16 00:00:00";"2320 pleasant Ave ,Minneapolis,MN";44.959;-93.283;2;10;"Whittier";"Powderhorn";3
11;"Howe";"2018-04-16 00:00:00";"1404 6th st se,Minneapolis,MN";44.982;-93.234;2;3;"Marcy Holmes";"University";4
12;"Howe";"2018-04-16 00:00:00";"238 Irving ave n,Minneapolis,MN";44.979;-93.299;2;5;"Harrison";"Near North";3
13;"Howe";"2018-04-16 00:00:00";"3714 43rd st e,Minneapolis,MN";44.925;-93.219;2;12;"Hiawatha";"Longfellow";6
14;"Howe";"2018-04-16 00:00:00";"814 Oliver Ave N,Minneapolis,MN";44.987;-93.307;2;5;"Near - North";"Near North";1
15;"Howe";"2018-04-16 00:00:00";"3620 dupont Ave n ,Minneapolis,MN";45.021;-93.293;2;4;"McKinley";"Camden";1
16;"Howe";"2018-04-16 00:00:00";"320 bryant ave n ,Minneapolis,MN";44.981;-93.29;2;5;"Sumner - Glenwood";"Near North";3
17;"Howe";"2018-04-16 00:00:00";"3726 Colfax Ave n ,Minneapolis,MN";45.023;-93.292;2;4;"McKinley";"Camden";1
18;"Howe";"2018-04-16 00:00:00";"1350 sheridan ave n ,Minneapolis,MN";44.993;-93.312;2;5;"Willard - Hay";"Near North";1
19;"Howe";"2018-04-16 00:00:00";"1348 sheridan ave n ,Minneapolis,MN";44.993;-93.312;2;5;"Willard - Hay";"Near North";1
20;"Howe";"2018-04-16 00:00:00";"1816 Steven ave s,Minneapolis,MN";44.965;-93.276;2;6;"Steven's Square - Loring Heights";"Central";3
21;"Howe";"2018-04-16 00:00:00";"622 RUSSELL AVE N,Minneapolis,MN";44.985;-93.311;2;5;"Willard - Hay";"Near North";1
22;"Howe";"2018-04-16 00:00:00";"2705 Delaware st se,Minneapolis,MN";44.971;-93.219;2;2;"Prospect Park - East River Road";"University";4
