"FID";"snow_emergency_name";"citation";"service_date";"address";"latitude";"longitude";"day_id";"ordinance_id";"ordinance_desc";"ward";"neighborhood";"community";"tow_district"
3001;"Xerxes";271118359139;"2018-02-26 00:00:00";"4834 CAMDEN AVE N";45.043;-93.289;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Lind - Bohanon";"Camden";1
3002;"Xerxes";271118359140;"2018-02-26 00:00:00";"4838 CAMDEN AVE N";45.043;-93.289;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Lind - Bohanon";"Camden";1
3003;"Xerxes";271118343680;"2018-02-26 00:00:00";"4844 CLINTON AVE S";44.915;-93.272;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";8;"Field";"Nokomis";5
3004;"Xerxes";271118359150;"2018-02-26 00:00:00";"4850 ALDRICH AVE N";45.044;-93.29;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Lind - Bohanon";"Camden";1
3005;"Xerxes";271118359141;"2018-02-26 00:00:00";"4854 CAMDEN AVE N";45.044;-93.289;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Lind - Bohanon";"Camden";1
3006;"Xerxes";271118355030;"2018-02-26 00:00:00";"4900 53RD ST E";44.908;-93.204;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";12;"Minnehaha";"Nokomis";6
3007;"Xerxes";271118357323;"2018-02-26 00:00:00";"4904 53RD ST E";44.908;-93.204;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";12;"Minnehaha";"Nokomis";6
3008;"Xerxes";271118354803;"2018-02-26 00:00:00";"4910 MORGAN AVE S";44.914;-93.305;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";13;"Lynnhurst";"Southwest";5
3009;"Xerxes";271118343679;"2018-02-26 00:00:00";"4916 CLINTON AVE S";44.914;-93.272;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";8;"Field";"Nokomis";5
3010;"Xerxes";271118359179;"2018-02-26 00:00:00";"4916 FREMONT AVE N";45.045;-93.297;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Lind - Bohanon";"Camden";1
3011;"Xerxes";271118354802;"2018-02-26 00:00:00";"4916 MORGAN AVE S";44.914;-93.305;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";13;"Lynnhurst";"Southwest";5
3012;"Xerxes";271118343271;"2018-02-26 00:00:00";"4920 CLINTON AVE S";44.913;-93.272;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";8;"Field";"Nokomis";5
