"FID";"snow_emergency_name";"service_date";"address";"latitude";"longitude";"day_id";"ward";"neighborhood";"community";"tow_district"
1;"Xerxes";"2018-02-24 00:00:00";"299 5th ave se,Minneapolis,MN";44.984;-93.249;1;3;"Marcy Holmes";"University";4
2;"Xerxes";"2018-02-23 00:00:00";"3025 Chicago Ave S,Minneapolis,MN";44.948;-93.262;1;9;"Powderhorn Park";"Powderhorn";6
3;"Xerxes";"2018-02-24 00:00:00";"620 8th ave se,Minneapolis,MN";44.986;-93.242;2;3;"Marcy Holmes";"University";4
4;"Xerxes";"2018-02-23 00:00:00";"4145 CHICAGO AVE S,Minneapolis,MN";44.927;-93.262;1;8;"Bancroft";"Powderhorn";6
5;"Xerxes";"2018-02-23 00:00:00";"4146 Chicago Ave S,Minneapolis,MN";44.927;-93.262;1;8;"Bancroft";"Powderhorn";6
6;"Xerxes";"2018-02-24 00:00:00";"524 8th ave se,Minneapolis,MN";44.985;-93.243;2;3;"Marcy Holmes";"University";4
7;"Xerxes";"2018-02-23 00:00:00";"3925 CHICAGO AVE S,Minneapolis,MN";44.932;-93.262;1;8;"Bancroft";"Powderhorn";6
8;"Xerxes";"2018-02-24 00:00:00";"428 7th st se,Minneapolis,MN";44.988;-93.247;2;3;"Marcy Holmes";"University";4
9;"Xerxes";"2018-02-24 00:00:00";"4612 16TH AVE S,Minneapolis,MN";44.919;-93.251;2;11;"Northrop";"Nokomis";6
10;"Xerxes";"2018-02-24 00:00:00";"250 3RD AVE SE,Minneapolis,MN";44.985;-93.252;1;3;"Marcy Holmes";"University";4
11;"Xerxes";"2018-02-24 00:00:00";"3034 13th ave s,Minneapolis,MN";44.947;-93.257;2;9;"Powderhorn Park";"Powderhorn";6
12;"Xerxes";"2018-02-24 00:00:00";"1004 13th Ave s e,Minneapolis,MN";44.988;-93.233;2;2;"Como";"University";4
13;"Xerxes";"2018-02-24 00:00:00";"5144 18TH AVE S,Minneapolis,MN";44.909;-93.249;2;11;"Hale";"Nokomis";6
14;"Xerxes";"2018-02-24 00:00:00";"318 6th st se,Minneapolis,MN";44.988;-93.249;2;3;"Marcy Holmes";"University";4
15;"Xerxes";"2018-02-24 00:00:00";"3910 26TH AVE S,Minneapolis,MN";44.932;-93.235;2;12;"Standish";"Powderhorn";6
16;"Xerxes";"2018-02-24 00:00:00";"819 UNIVERSITY AVE SE,Minneapolis,MN";44.983;-93.244;1;3;"Marcy Holmes";"University";4
17;"Xerxes";"2018-02-24 00:00:00";"3300 BLOOMINGTON AVE S,Minneapolis,MN";44.943;-93.253;1;9;"Powderhorn Park";"Powderhorn";6
18;"Xerxes";"2018-02-24 00:00:00";"1100 15th Ave SE - MPLS,Minneapolis,MN";44.985;-93.231;2;2;"Como";"University";4
19;"Xerxes";"2018-02-24 00:00:00";"3406 25TH AVE S,Minneapolis,MN";44.941;-93.236;2;9;"Corcoran";"Powderhorn";6
20;"Xerxes";"2018-02-24 00:00:00";"825 UNIVERSITY AVE SE,Minneapolis,MN";44.983;-93.244;1;3;"Marcy Holmes";"University";4
21;"Xerxes";"2018-02-24 00:00:00";"3128 10th ave s,Minneapolis,MN";44.946;-93.26;2;9;"Powderhorn Park";"Powderhorn";6
22;"Xerxes";"2018-02-24 00:00:00";"720 8th ave se,Minneapolis,MN";44.987;-93.241;2;3;"Marcy Holmes";"University";4
23;"Xerxes";"2018-02-24 00:00:00";"3325 BLOOMINGTON AVE S,Minneapolis,MN";44.942;-93.252;1;9;"Powderhorn Park";"Powderhorn";6
24;"Xerxes";"2018-02-24 00:00:00";"1110 16th Ave SE ,Minneapolis,MN";44.991;-93.229;2;1;"Como";"University";4
25;"Xerxes";"2018-02-24 00:00:00";"3028 11th ave s,Minneapolis,MN";44.947;-93.259;2;9;"Powderhorn Park";"Powderhorn";6
26;"Xerxes";"2018-02-24 00:00:00";"424 8th ave se,Minneapolis,MN";44.984;-93.244;2;3;"Marcy Holmes";"University";4
27;"Xerxes";"2018-02-24 00:00:00";"3024 11th av s,Minneapolis,MN";44.947;-93.259;2;9;"Powderhorn Park";"Powderhorn";6
