"FID";"snow_emergency_name";"citation";"service_date";"address";"latitude";"longitude";"day_id";"ordinance_id";"ordinance_desc";"ward";"neighborhood";"community";"tow_district"
3001;"Yardville";271118356793;"2018-02-25 00:00:00";"3123 IRVING AVE N";45.013;-93.299;3;"478.1000(c)";"Snow emergency parking restrictions - odd number address";5;"Jordan";"Near North";1
3002;"Yardville";271118338661;"2018-02-25 00:00:00";"3123 LINCOLN ST NE";45.025;-93.238;3;"478.1000(c)";"Snow emergency parking restrictions - odd number address";1;"Waite Park";"Northeast";2
3003;"Yardville";271118356572;"2018-02-25 00:00:00";"3123 PLEASANT AVE";44.946;-93.283;3;"478.1000(c)";"Snow emergency parking restrictions - odd number address";8;"Lyndale";"Powderhorn";5
3004;"Yardville";271118348940;"2018-02-24 00:00:00";"2412 JAMES AVE N";45.004;-93.302;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Jordan";"Near North";1
3005;"Yardville";271118350722;"2018-02-24 00:00:00";"2814 STEVENS AVE S";44.951;-93.275;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";10;"Whittier";"Powderhorn";3
3006;"Yardville";271118359449;"2018-02-25 00:00:00";"2413 16TH AVE S";44.958;-93.251;3;"478.1000(c)";"Snow emergency parking restrictions - odd number address";9;"East Phillips";"Phillips";3
3007;"Yardville";271118344229;"2018-02-24 00:00:00";"3124 22ND AVE S";44.945;-93.241;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";9;"Corcoran";"Powderhorn";6
3008;"Yardville";271118352532;"2018-02-25 00:00:00";"2815 10TH AVE S";44.951;-93.26;3;"478.1000(c)";"Snow emergency parking restrictions - odd number address";9;"Midtown Phillips";"Phillips";3
3009;"Yardville";271118343306;"2018-02-25 00:00:00";"2413 33RD ST E";44.943;-93.237;3;"478.1000(c)";"Snow emergency parking restrictions - odd number address";9;"Corcoran";"Powderhorn";6
3010;"Yardville";271118349485;"2018-02-24 00:00:00";"3124 29TH AVE S";44.946;-93.23;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";2;"Longfellow";"Longfellow";6
3011;"Yardville";271118352630;"2018-02-25 00:00:00";"2815 13TH AVE S";44.975;-93.279;3;"478.1000(c)";"Snow emergency parking restrictions - odd number address";7;"Downtown West";"Central";3
3012;"Yardville";271118355938;"2018-02-25 00:00:00";"2413 6TH ST N";45.004;-93.287;3;"478.1000(c)";"Snow emergency parking restrictions - odd number address";5;"Hawthorne";"Near North";1
3013;"Yardville";271118351230;"2018-02-24 00:00:00";"3124 3RD ST N";45.013;-93.283;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Hawthorne";"Near North";1
3014;"Yardville";271118324597;"2018-02-25 00:00:00";"2815 52ND ST W";44.909;-93.315;3;"478.1000(c)";"Snow emergency parking restrictions - odd number address";13;"Fulton";"Southwest";5
3015;"Yardville";271118355992;"2018-02-25 00:00:00";"2815 ALDRICH AVE N";45.009;-93.289;3;"478.1000(c)";"Snow emergency parking restrictions - odd number address";5;"Hawthorne";"Near North";1
3016;"Yardville";271118356091;"2018-02-25 00:00:00";"2815 DUPONT AVE N";45.009;-93.293;3;"478.1000(c)";"Snow emergency parking restrictions - odd number address";5;"Hawthorne";"Near North";1
3017;"Yardville";271118352792;"2018-02-25 00:00:00";"2815 HUMBOLDT AVE S";44.952;-93.3;3;"478.1000(c)";"Snow emergency parking restrictions - odd number address";7;"East Isles";"Calhoun Isle";3
3018;"Yardville";271118352793;"2018-02-25 00:00:00";"2815 HUMBOLDT AVE S";44.952;-93.3;3;"478.1000(c)";"Snow emergency parking restrictions - odd number address";7;"East Isles";"Calhoun Isle";3
