X,Y,FID,Citation_N,Service_Da,Address,Ordinance,Ordinanc_1,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Snow_Em_Na,Day_ID
-93.264502,44.965232,4001,271118392589,4/16/2018 15:19,704 18TH ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.965232,-93.264502,6,Phillips,Ventura Village,3,Howe,2
-93.302519,44.98527,4002,271118396141,4/16/2018 15:19,1716 THOMAS PL,478.1000(b),Snow emergency parking restrictions - even number address,44.98527,-93.302519,5,Near North,Near - North,1,Howe,2
-93.248323,45.016782,4003,271118394479,4/16/2018 15:19,912 27TH AVE NE,478.1000(b),Snow emergency parking restrictions - even number address,45.016782,-93.248323,1,Northeast,Columbia Park,2,Howe,2
-93.285934,44.95886,4004,271118393488,4/16/2018 15:19,2400 HARRIET AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.95886,-93.285934,10,Powderhorn,Whittier,3,Howe,2
-93.289914,45.048379,4005,271118392256,4/16/2018 15:19,5126 ALDRICH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.048379,-93.289914,4,Camden,Lind - Bohanon,1,Howe,2
-93.22166,44.92167,4006,271118364557,4/16/2018 15:20,4456 35TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.92167,-93.22166,12,Nokomis,Ericsson,6,Howe,2
-93.209146,44.967602,4007,271118393836,4/16/2018 15:20,64 BEDFORD ST SE,478.1000(b),Snow emergency parking restrictions - even number address,44.967602,-93.209146,2,University,Prospect Park - East River Road,4,Howe,2
-93.30234,44.985276,4008,271118396789,4/16/2018 15:20,1714 THOMAS PL,478.1000(b),Snow emergency parking restrictions - even number address,44.985276,-93.30234,5,Near North,Near - North,1,Howe,2
-93.248459,45.016789,4009,271118394480,4/16/2018 15:20,908 27TH AVE NE,478.1000(b),Snow emergency parking restrictions - even number address,45.016789,-93.248459,1,Northeast,Columbia Park,2,Howe,2
-93.306991,45.017795,4010,271118396576,4/16/2018 15:20,3434 OLIVER AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.017795,-93.306991,4,Camden,Folwell,1,Howe,2
-93.267937,44.936285,4011,271118388241,4/16/2018 15:21,410 37TH ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.936285,-93.267937,8,Powderhorn,Central,5,Howe,2
-93.302583,44.985079,4012,271118396790,4/16/2018 15:21,1710 THOMAS PL,478.1000(b),Snow emergency parking restrictions - even number address,44.985079,-93.302583,5,Near North,Near - North,1,Howe,2
-93.23972,45.016629,4013,271118393880,4/16/2018 15:21,2652 BUCHANAN ST NE,478.1000(b),Snow emergency parking restrictions - even number address,45.016629,-93.23972,1,Northeast,Audubon Park,2,Howe,2
-93.289929,45.048853,4014,271118392257,4/16/2018 15:21,5142 ALDRICH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.048853,-93.289929,4,Camden,Lind - Bohanon,1,Howe,2
-93.302321,44.985257,4015,271118396791,4/16/2018 15:22,1708 THOMAS PL,478.1000(b),Snow emergency parking restrictions - even number address,44.985257,-93.302321,5,Near North,Near - North,1,Howe,2
-93.306998,45.021834,4016,271118396577,4/16/2018 15:22,3640 OLIVER AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.021834,-93.306998,4,Camden,Folwell,1,Howe,2
-93.276841,44.901813,4017,271118389460,4/16/2018 15:23,5548 1ST AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.901813,-93.276841,11,Southwest,Windom,5,Howe,2
-93.25599,45.016787,4018,271118394481,4/16/2018 15:23,644 27TH AVE NE,478.1000(b),Snow emergency parking restrictions - even number address,45.016787,-93.25599,1,Northeast,Columbia Park,2,Howe,2
-93.285764,44.961209,4019,271118393489,4/16/2018 15:23,2120 HARRIET AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.961209,-93.285764,10,Powderhorn,Whittier,3,Howe,2
-93.289869,45.050536,4020,271118392258,4/16/2018 15:23,5236 ALDRICH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.050536,-93.289869,4,Camden,Lind - Bohanon,1,Howe,2
-93.302382,44.985295,4021,271118396792,4/16/2018 15:24,1706 THOMAS PL,478.1000(b),Snow emergency parking restrictions - even number address,44.985295,-93.302382,5,Near North,Near - North,1,Howe,2
-93.255969,45.016768,4022,271118394482,4/16/2018 15:24,646 27TH AVE NE,478.1000(b),Snow emergency parking restrictions - even number address,45.016768,-93.255969,1,Northeast,Holland,2,Howe,2
-93.307033,45.023112,4023,271118396578,4/16/2018 15:24,3730 OLIVER AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.023112,-93.307033,4,Camden,Folwell,1,Howe,2
-93.214108,44.934001,4024,271118392976,4/16/2018 15:25,3804 41ST AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.934001,-93.214108,12,Longfellow,Howe,6,Howe,2
-93.272306,44.93599,4025,271118388242,4/16/2018 15:25,230 37TH ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.93599,-93.272306,8,Powderhorn,Central,5,Howe,2
