X,Y,FID,Citation_N,Date,Address,Latitude,Longitude,Ordinance,Ordinanc_1,Neighborho,Community,Ward,Snow_Em_Na,Day_ID,Tow_Distri
-93.28890228,45.04309845,3001,271118359139,2018-02-26T00:00:00.000Z,4834 CAMDEN AVE N,45.04309845,-93.28890228,478.1000(b),Snow emergency parking restrictions - even number address,Lind - Bohanon,Camden,4,Xerxes,2,1
-93.28889465,45.04325485,3002,271118359140,2018-02-26T00:00:00.000Z,4838 CAMDEN AVE N,45.04325485,-93.28889465,478.1000(b),Snow emergency parking restrictions - even number address,Lind - Bohanon,Camden,4,Xerxes,2,1
-93.2715683,44.91472626,3003,271118343680,2018-02-26T00:00:00.000Z,4844 CLINTON AVE S,44.91472626,-93.2715683,478.1000(b),Snow emergency parking restrictions - even number address,Field,Nokomis,8,Xerxes,2,5
-93.29014587,45.04359055,3004,271118359150,2018-02-26T00:00:00.000Z,4850 ALDRICH AVE N,45.04359055,-93.29014587,478.1000(b),Snow emergency parking restrictions - even number address,Lind - Bohanon,Camden,4,Xerxes,2,1
-93.28887939,45.04357147,3005,271118359141,2018-02-26T00:00:00.000Z,4854 CAMDEN AVE N,45.04357147,-93.28887939,478.1000(b),Snow emergency parking restrictions - even number address,Lind - Bohanon,Camden,4,Xerxes,2,1
-93.20436859,44.90782928,3006,271118355030,2018-02-26T00:00:00.000Z,4900 53RD ST E,44.90782928,-93.20436859,478.1000(b),Snow emergency parking restrictions - even number address,Minnehaha,Nokomis,12,Xerxes,2,6
-93.20397949,44.90755081,3007,271118357323,2018-02-26T00:00:00.000Z,4904 53RD ST E,44.90755081,-93.20397949,478.1000(b),Snow emergency parking restrictions - even number address,Minnehaha,Nokomis,12,Xerxes,2,6
-93.30490875,44.91373062,3008,271118354803,2018-02-26T00:00:00.000Z,4910 MORGAN AVE S,44.91373062,-93.30490875,478.1000(b),Snow emergency parking restrictions - even number address,Lynnhurst,Southwest,13,Xerxes,2,5
-93.27159119,44.91357803,3009,271118343679,2018-02-26T00:00:00.000Z,4916 CLINTON AVE S,44.91357803,-93.27159119,478.1000(b),Snow emergency parking restrictions - even number address,Field,Nokomis,8,Xerxes,2,5
-93.29663086,45.04454422,3010,271118359179,2018-02-26T00:00:00.000Z,4916 FREMONT AVE N,45.04454422,-93.29663086,478.1000(b),Snow emergency parking restrictions - even number address,Lind - Bohanon,Camden,4,Xerxes,2,1
