X,Y,FID,Call_Taken,Customer,Location,Latitude,Longitude,Snow_Emerg,Day,Ward,Neighborho,Community,Tow_Dist
-93.249046,44.984485,1,02/24/2018 12:20am,Snow Emergency,"299 5th ave se,Minneapolis,MN",44.984485,-93.249046,Xerxes,1,3,Marcy Holmes,University,4
-93.262311,44.947508,2,02/23/2018 10:30pm,Snow Emergency,"3025 Chicago Ave S,Minneapolis,MN",44.947508,-93.262311,Xerxes,1,9,Powderhorn Park,Powderhorn,6
-93.241708,44.986318,3,02/24/2018 12:20pm,Snow Emergency,"620 8th ave se,Minneapolis,MN",44.986318,-93.241708,Xerxes,2,3,Marcy Holmes,University,4
-93.262193,44.927397,4,02/23/2018 11:10pm,Snow Emergency,"4145 CHICAGO AVE S,Minneapolis,MN",44.927397,-93.262193,Xerxes,1,8,Bancroft,Powderhorn,6
-93.262498,44.927287,5,02/23/2018 11:11pm,Snow Emergency,"4146 Chicago Ave S,Minneapolis,MN",44.927287,-93.262498,Xerxes,1,8,Bancroft,Powderhorn,6
-93.242509,44.985384,6,02/24/2018 12:21pm,Snow Emergency,"524 8th ave se,Minneapolis,MN",44.985384,-93.242509,Xerxes,2,3,Marcy Holmes,University,4
-93.262146,44.931528,7,02/23/2018 11:18pm,Snow Emergency,"3925 CHICAGO AVE S,Minneapolis,MN",44.931528,-93.262146,Xerxes,1,8,Bancroft,Powderhorn,6
-93.246724,44.988448,8,02/24/2018 12:24pm,Snow Emergency,"428 7th st se,Minneapolis,MN",44.988448,-93.246724,Xerxes,2,3,Marcy Holmes,University,4
-93.251389,44.919174,9,02/24/2018 01:08pm,Snow Emergency,"4612 16TH AVE S,Minneapolis,MN",44.919174,-93.251389,Xerxes,2,11,Northrop,Nokomis,6
-93.252446,44.985197,10,02/24/2018 12:25am,Snow Emergency,"250 3RD AVE SE,Minneapolis,MN",44.985197,-93.252446,Xerxes,1,3,Marcy Holmes,University,4
-93.256575,44.947162,11,02/24/2018 01:08pm,Snow Emergency,"3034 13th ave s,Minneapolis,MN",44.947162,-93.256575,Xerxes,2,9,Powderhorn Park,Powderhorn,6
-93.233308,44.988038,12,02/24/2018 12:28pm,Snow Emergency,"1004 13th Ave s e,Minneapolis,MN",44.988038,-93.233308,Xerxes,2,2,Como,University,4
-93.248974,44.909344,13,02/24/2018 01:12pm,Snow Emergency,"5144 18TH AVE S,Minneapolis,MN",44.909344,-93.248974,Xerxes,2,11,Hale,Nokomis,6
-93.249055,44.988151,14,02/24/2018 12:30pm,Snow Emergency,"318 6th st se,Minneapolis,MN",44.988151,-93.249055,Xerxes,2,3,Marcy Holmes,University,4
-93.234658,44.931941,15,02/24/2018 01:23pm,Snow Emergency,"3910 26TH AVE S,Minneapolis,MN",44.931941,-93.234658,Xerxes,2,12,Standish,Powderhorn,6
-93.244271,44.982571,16,02/24/2018 12:33am,Snow Emergency,"819 UNIVERSITY AVE SE,Minneapolis,MN",44.982571,-93.244271,Xerxes,1,3,Marcy Holmes,University,4
-93.252764,44.942788,17,02/24/2018 01:25am,Snow Emergency,"3300 BLOOMINGTON AVE S,Minneapolis,MN",44.942788,-93.252764,Xerxes,1,9,Powderhorn Park,Powderhorn,6
-93.231078,44.985194,18,02/24/2018 12:34pm,Snow Emergency,"1100 15th Ave SE - MPLS,Minneapolis,MN",44.985194,-93.231078,Xerxes,2,2,Como,University,4
-93.236301,44.940984,19,02/24/2018 01:26pm,Snow Emergency,"3406 25TH AVE S,Minneapolis,MN",44.940984,-93.236301,Xerxes,2,9,Corcoran,Powderhorn,6
-93.244257,44.982565,20,02/24/2018 12:35am,Snow Emergency,"825 UNIVERSITY AVE SE,Minneapolis,MN",44.982565,-93.244257,Xerxes,1,3,Marcy Holmes,University,4
-93.260425,44.945667,21,02/24/2018 01:26pm,Snow Emergency,"3128 10th ave s,Minneapolis,MN",44.945667,-93.260425,Xerxes,2,9,Powderhorn Park,Powderhorn,6
-93.240962,44.987396,22,02/24/2018 12:36pm,Snow Emergency,"720 8th ave se,Minneapolis,MN",44.987396,-93.240962,Xerxes,2,3,Marcy Holmes,University,4
-93.252096,44.942152,23,02/24/2018 01:29am,Snow Emergency,"3325 BLOOMINGTON AVE S,Minneapolis,MN",44.942152,-93.252096,Xerxes,1,9,Powderhorn Park,Powderhorn,6
-93.229499,44.991155,24,02/24/2018 12:37pm,Snow Emergency,"1110 16th Ave SE ,Minneapolis,MN",44.991155,-93.229499,Xerxes,2,1,Como,University,4
-93.25918,44.947393,25,02/24/2018 01:31pm,Snow Emergency,"3028 11th ave s,Minneapolis,MN",44.947393,-93.25918,Xerxes,2,9,Powderhorn Park,Powderhorn,6
-93.243582,44.984477,26,02/24/2018 12:43pm,Snow Emergency,"424 8th ave se,Minneapolis,MN",44.984477,-93.243582,Xerxes,2,3,Marcy Holmes,University,4
-93.25909,44.947491,27,02/24/2018 01:31pm,Snow Emergency,"3024 11th av s,Minneapolis,MN",44.947491,-93.25909,Xerxes,2,9,Powderhorn Park,Powderhorn,6
