X,Y,FID,Citation_N,Date,Address,Latitude,Longitude,Ordinance,Ordinanc_1,Neighborho,Community,Ward,Snow_Em_Na,Day_ID,Tow_Distri
-93.29940796,45.01291275,3001,271118356793,2018-02-25T00:00:00.000Z,3123 IRVING AVE N,45.01291275,-93.29940796,478.1000(c),Snow emergency parking restrictions - odd number address,Jordan,Near North,5,Yardville,3,1
-93.23840332,45.0249176,3002,271118338661,2018-02-25T00:00:00.000Z,3123 LINCOLN ST NE,45.0249176,-93.23840332,478.1000(c),Snow emergency parking restrictions - odd number address,Waite Park,Northeast,1,Yardville,3,2
-93.28315735,44.94583893,3003,271118356572,2018-02-25T00:00:00.000Z,3123 PLEASANT AVE,44.94583893,-93.28315735,478.1000(c),Snow emergency parking restrictions - odd number address,Lyndale,Powderhorn,8,Yardville,3,5
-93.30185699,45.00423813,3004,271118348940,2018-02-24T00:00:00.000Z,2412 JAMES AVE N,45.00423813,-93.30185699,478.1000(b),Snow emergency parking restrictions - even number address,Jordan,Near North,5,Yardville,2,1
-93.27537537,44.95137787,3005,271118350722,2018-02-24T00:00:00.000Z,2814 STEVENS AVE S,44.95137787,-93.27537537,478.1000(b),Snow emergency parking restrictions - even number address,Whittier,Powderhorn,10,Yardville,2,3
-93.25128937,44.95833206,3006,271118359449,2018-02-25T00:00:00.000Z,2413 16TH AVE S,44.95833206,-93.25128937,478.1000(c),Snow emergency parking restrictions - odd number address,East Phillips,Phillips,9,Yardville,3,3
-93.24072266,44.94536972,3007,271118344229,2018-02-24T00:00:00.000Z,3124 22ND AVE S,44.94536972,-93.24072266,478.1000(b),Snow emergency parking restrictions - even number address,Corcoran,Powderhorn,9,Yardville,2,6
-93.26005554,44.95138168,3008,271118352532,2018-02-25T00:00:00.000Z,2815 10TH AVE S,44.95138168,-93.26005554,478.1000(c),Snow emergency parking restrictions - odd number address,Midtown Phillips,Phillips,9,Yardville,3,3
-93.23670197,44.94294739,3009,271118343306,2018-02-25T00:00:00.000Z,2413 33RD ST E,44.94294739,-93.23670197,478.1000(c),Snow emergency parking restrictions - odd number address,Corcoran,Powderhorn,9,Yardville,3,6
-93.23001862,44.94613647,3010,271118349485,2018-02-24T00:00:00.000Z,3124 29TH AVE S,44.94613647,-93.23001862,478.1000(b),Snow emergency parking restrictions - even number address,Longfellow,Longfellow,2,Yardville,2,6
-93.27902985,44.9753952,3011,271118352630,2018-02-25T00:00:00.000Z,2815 13TH AVE S,44.9753952,-93.27902985,478.1000(c),Snow emergency parking restrictions - odd number address,Downtown West,Central,7,Yardville,3,3
-93.28651428,45.00415039,3012,271118355938,2018-02-25T00:00:00.000Z,2413 6TH ST N,45.00415039,-93.28651428,478.1000(c),Snow emergency parking restrictions - odd number address,Hawthorne,Near North,5,Yardville,3,1
-93.28337097,45.01257706,3013,271118351230,2018-02-24T00:00:00.000Z,3124 3RD ST N,45.01257706,-93.28337097,478.1000(b),Snow emergency parking restrictions - even number address,Hawthorne,Near North,5,Yardville,2,1
-93.31526184,44.90881729,3014,271118324597,2018-02-25T00:00:00.000Z,2815 52ND ST W,44.90881729,-93.31526184,478.1000(c),Snow emergency parking restrictions - odd number address,Fulton,Southwest,13,Yardville,3,5
-93.28927612,45.0091362,3015,271118355992,2018-02-25T00:00:00.000Z,2815 ALDRICH AVE N,45.0091362,-93.28927612,478.1000(c),Snow emergency parking restrictions - odd number address,Hawthorne,Near North,5,Yardville,3,1
-93.29307556,45.00907516,3016,271118356091,2018-02-25T00:00:00.000Z,2815 DUPONT AVE N,45.00907516,-93.29307556,478.1000(c),Snow emergency parking restrictions - odd number address,Hawthorne,Near North,5,Yardville,3,1
-93.30042267,44.95178986,3017,271118352792,2018-02-25T00:00:00.000Z,2815 HUMBOLDT AVE S,44.95178986,-93.30042267,478.1000(c),Snow emergency parking restrictions - odd number address,East Isles,Calhoun Isle,7,Yardville,3,3
-93.30037689,44.95160675,3018,271118352793,2018-02-25T00:00:00.000Z,2815 HUMBOLDT AVE S,44.95160675,-93.30037689,478.1000(c),Snow emergency parking restrictions - odd number address,East Isles,Calhoun Isle,7,Yardville,3,3
-93.28118134,44.95153809,3019,271118352197,2018-02-24T00:00:00.000Z,2815 PILLSBURY AVE,44.95153809,-93.28118134,478.1000(b),Snow emergency parking restrictions - even number address,Whittier,Powderhorn,10,Yardville,2,3
-93.26386261,44.95129776,3020,271118346646,2018-02-24T00:00:00.000Z,2816 COLUMBUS AVE S,44.95129776,-93.26386261,478.1000(b),Snow emergency parking restrictions - even number address,Phillips West,Phillips,6,Yardville,2,3
-93.21787262,44.97024536,3021,271118336849,2018-02-24T00:00:00.000Z,2816 DELAWARE ST SE,44.97024536,-93.21787262,478.1000(b),Snow emergency parking restrictions - even number address,Prospect Park - East River Road,University,2,Yardville,2,4
-93.29681396,45.00905991,3022,271118344177,2018-02-24T00:00:00.000Z,2816 GIRARD AVE N,45.00905991,-93.29681396,478.1000(b),Snow emergency parking restrictions - even number address,Jordan,Near North,5,Yardville,2,1
-93.29055786,45.00908279,3023,271118356017,2018-02-25T00:00:00.000Z,2817 BRYANT AVE N,45.00908279,-93.29055786,478.1000(c),Snow emergency parking restrictions - odd number address,Hawthorne,Near North,5,Yardville,3,1
-93.26422882,44.95127106,3024,271118351841,2018-02-25T00:00:00.000Z,2817 COLUMBUS AVE S,44.95127106,-93.26422882,478.1000(c),Snow emergency parking restrictions - odd number address,Phillips West,Phillips,6,Yardville,3,3
